variant,basin_id,component,mean_component_discharge,component_weight,component_contribution_to_final_q,collapsed_near_zero,dominates_basin,mean_channel_loss_component,mean_gate_loss_component
Model6PhysicalFix_A_explicit_gate,1434025,1,3.369760513305664,0.07780171185731888,0.2616707980632782,False,False,0.005886159371584654,0.07497448474168777
Model6PhysicalFix_A_explicit_gate,1434025,2,3.1141040325164795,0.03676609694957733,0.24181817471981049,False,False,0.04500811547040939,0.0059809754602611065
Model6PhysicalFix_A_explicit_gate,1434025,3,3.2030837535858154,0.48097994923591614,0.24872758984565735,False,False,0.0011106107849627733,0.006917016115039587
Model6PhysicalFix_A_explicit_gate,1434025,4,3.190734624862671,0.40445226430892944,0.2477721869945526,False,False,0.007433813996613026,0.004035697318613529
Model6PhysicalFix_A_explicit_gate,1435000,1,3.151052951812744,0.08447475731372833,0.2623113691806793,False,False,0.005096617620438337,0.07275287806987762
Model6PhysicalFix_A_explicit_gate,1435000,2,2.8762099742889404,0.038904596120119095,0.23943138122558594,False,False,0.04881635680794716,0.005586089566349983
Model6PhysicalFix_A_explicit_gate,1435000,3,3.001418352127075,0.4688073396682739,0.24985462427139282,False,False,0.0015063147293403745,0.006737235933542252
Model6PhysicalFix_A_explicit_gate,1435000,4,2.9838004112243652,0.40781331062316895,0.2483915090560913,False,False,0.00981415156275034,0.004012908320873976
Model6PhysicalFix_A_explicit_gate,1439500,1,1.9881048202514648,0.1328001618385315,0.26305919885635376,False,False,0.004870932549238205,0.04566488415002823
Model6PhysicalFix_A_explicit_gate,1439500,2,1.4526339769363403,0.05008923262357712,0.1922069489955902,False,False,0.04316675662994385,0.002871173433959484
Model6PhysicalFix_A_explicit_gate,1439500,3,2.1091549396514893,0.3953854441642761,0.2790757715702057,False,False,0.015631668269634247,0.006269227713346481
Model6PhysicalFix_A_explicit_gate,1439500,4,2.007601022720337,0.4217252731323242,0.265643447637558,False,False,0.05610071122646332,0.003988605923950672
Model6PhysicalFix_A_explicit_gate,1440000,1,1.7839295864105225,0.14491316676139832,0.26784467697143555,False,False,0.006262140814214945,0.04169245436787605
Model6PhysicalFix_A_explicit_gate,1440000,2,1.1860172748565674,0.08009068667888641,0.17807143926620483,False,False,0.02942032739520073,0.002360929735004902
Model6PhysicalFix_A_explicit_gate,1440000,3,1.8499038219451904,0.32556527853012085,0.2777499258518219,False,False,0.023799896240234375,0.005638208240270615
Model6PhysicalFix_A_explicit_gate,1440000,4,1.840328574180603,0.4494308531284332,0.2763179540634155,False,False,0.04735858738422394,0.003974142484366894
Model6PhysicalFix_A_explicit_gate,1440400,1,2.116577625274658,0.14811959862709045,0.25909310579299927,False,False,0.004223459400236607,0.04780803993344307
Model6PhysicalFix_A_explicit_gate,1440400,2,1.6678524017333984,0.062051158398389816,0.20416377484798431,False,False,0.04852236434817314,0.003512883558869362
Model6PhysicalFix_A_explicit_gate,1440400,3,2.266512155532837,0.3699324429035187,0.2774468660354614,False,False,0.012141539715230465,0.0071198404766619205
Model6PhysicalFix_A_explicit_gate,1440400,4,2.1180880069732666,0.4198967516422272,0.2592827081680298,False,False,0.04906725138425827,0.0038964010309427977
Model6PhysicalFix_A_explicit_gate,1451800,1,1.750367522239685,0.16729551553726196,0.24977007508277893,False,False,0.010760956443846226,0.04650043696165085
Model6PhysicalFix_A_explicit_gate,1451800,2,1.7168464660644531,0.10128442198038101,0.2449864149093628,False,False,0.035131871700286865,0.0054756877943873405
Model6PhysicalFix_A_explicit_gate,1451800,3,1.8314728736877441,0.3403174877166748,0.2613433599472046,False,False,0.011008300818502903,0.006206457503139973
Model6PhysicalFix_A_explicit_gate,1451800,4,1.709072232246399,0.3911026120185852,0.24388284981250763,False,False,0.09112456440925598,0.003688890254124999
Model6PhysicalFix_A_explicit_gate,1466500,1,1.3709149360656738,0.11301525682210922,0.2751496732234955,False,False,0.035483650863170624,0.04169275984168053
Model6PhysicalFix_A_explicit_gate,1466500,2,0.20437836647033691,0.32180798053741455,0.04102061688899994,False,False,0.0029818532057106495,0.0010399495949968696
Model6PhysicalFix_A_explicit_gate,1466500,3,1.695131778717041,0.085874542593956,0.3402223587036133,False,False,0.32086846232414246,0.009429139085114002
Model6PhysicalFix_A_explicit_gate,1466500,4,1.711883783340454,0.479302316904068,0.34359288215637207,False,False,0.22437788546085358,0.005123763345181942
Model6PhysicalFix_A_explicit_gate,1484100,1,1.3411705493927002,0.09525181353092194,0.2776946425437927,False,False,0.015601220540702343,0.03930504620075226
Model6PhysicalFix_A_explicit_gate,1484100,2,0.6890618801116943,0.22677463293075562,0.14267343282699585,False,False,0.007392766419798136,0.003391812788322568
Model6PhysicalFix_A_explicit_gate,1484100,3,1.4030729532241821,0.15910932421684265,0.2905117869377136,False,False,0.2392737716436386,0.0067116497084498405
Model6PhysicalFix_A_explicit_gate,1484100,4,1.3962349891662598,0.5188641548156738,0.2891031801700592,False,False,0.2629864513874054,0.004234286956489086
Model6PhysicalFix_A_explicit_gate,1485500,1,1.2617509365081787,0.1972993165254593,0.2700512707233429,False,False,0.011664418503642082,0.04095996916294098
